ACC_RANDOM,SATXN_ENTRY_DATE,SATXN_BR_CODE,SATXN_BUSI_DATE,SATXN_TXN_TIME,SATXN_MEMO_CODE,SATXN_TXN_MEMO,SATXN_DB_CR_STAT,SATXN_TXN_AMT,SATXN_SAM_BAL,SATXN_TXN_STAT,SATXN_PB_STATUS,ID_RANDOM,SATXN_BUSI_CODE,SATXN_CASH_AMT,SATXN_BANK_NO
"68,409",2023/5/15 0:00,1067,2023/5/15 0:00,63743,1417,____  ,2,"100,000.00","104,934.00",0,0,"548,443",AT01,0,822
"2,805,368",2023/5/26 0:00,675,2023/5/26 0:00,120334,1079,____  ,1,"200,030.00","1,404,716.00",0,1,"1,637,552",SA01,0,   
"2,805,368",2023/5/26 0:00,675,2023/5/26 0:00,115737,1,____  ,2,"600,000.00","1,604,746.00",0,1,"1,637,552",SA01,"600,000.00",   
"2,805,368",2023/5/23 0:00,675,2023/5/23 0:00,12428,90,____  ,2,"500,000.00","1,004,746.00",0,0,"1,637,552",SA01,0,   
"2,805,368",2023/5/30 0:00,675,2023/5/30 0:00,112039,71,____  ,2,"300,000.00","1,304,686.00",0,0,"1,637,552",RT01,0,13
"2,805,368",2023/5/29 0:00,675,2023/5/29 0:00,114024,1001,____  ,1,"100,000.00","1,004,686.00",0,1,"1,637,552",SA01,"100,000.00",   
"2,805,368",2023/5/29 0:00,675,2023/5/29 0:00,113135,1079,____  ,1,"300,030.00","1,104,686.00",0,1,"1,637,552",SA01,0,   
"2,805,368",2023/5/22 0:00,675,2023/5/20 0:00,135529,237,____  ,1,"49,213.00","804,746.00",0,0,"1,637,552",NB01,0,103
"2,805,368",2023/5/22 0:00,675,2023/5/20 0:00,135422,1417,____  ,2,"49,213.00","853,959.00",0,0,"1,637,552",AT01,0,822
"2,805,368",2023/5/22 0:00,675,2023/5/22 0:00,104850,1001,____  ,1,"300,000.00","504,746.00",0,1,"1,637,552",SA01,"300,000.00",   
"2,805,368",2023/5/17 0:00,675,2023/5/17 0:00,95432,1001,____  ,1,"800,000.00","804,746.00",0,1,"1,637,552",SA01,"800,000.00",   
"2,805,368",2023/5/15 0:00,675,2023/5/15 0:00,112439,1001,____  ,1,"200,000.00","2,004,746.00",0,1,"1,637,552",SA01,"200,000.00",   
"2,805,368",2023/5/15 0:00,675,2023/5/15 0:00,134555,1001,____  ,1,"400,000.00","1,604,746.00",0,1,"1,637,552",SA01,"400,000.00",   
"219,175",2023/5/15 0:00,46,2023/5/15 0:00,180158,1073,____  ,1,399,"1,177,550.00",0,0,"2,352,717",AG01,0,   
"219,175",2023/5/23 0:00,46,2023/5/23 0:00,12407,89,___    ,2,"3,026,100.00","3,381,150.00",0,0,"2,352,717",SA01,0,   
"219,175",2023/5/22 0:00,46,2023/5/22 0:00,71907,1417,____  ,2,"79,900.00","1,257,450.00",0,0,"2,352,717",AT01,0,13
"219,175",2023/5/22 0:00,46,2023/5/22 0:00,132124,1001,____  ,1,"400,000.00","355,050.00",0,1,"2,352,717",SA01,"400,000.00",   
