ID_RANDOM,CFMST_OPEN_TYPE,CFMST_SEX,AGE,CFMST_BINS_CODE,CFMST_CUST_VIP,CFMST_TOUT_CODE,CFMST_DMCL_ZIP_CODE,CFMST_COMM_ZIP_CODE,CFMST_NOTICE_TEL_FLAG,CFMST_SEND_DM_CODE,CFMST_CRT_DATE,CFMST_CHG_DATE,CFMST_SEND_AT_CODE,CFMST_SEND_AT_CSH,CFMST_BINS_CODE_JCIC
2836,1,M,76,061700,DD,  ,     ,     ,0,1,2004-05-08 00:00:00.0000000,2018-02-12 00:00:00.0000000,0,1,061700
4096,1,F,54,061700,DD,  ,241  ,104  ,0,1,2004-05-08 00:00:00.0000000,2018-04-02 00:00:00.0000000,0,1,061700
691,1,M,62,061700,DD,  ,     ,100  ,0,1,2004-05-08 00:00:00.0000000,2018-02-12 00:00:00.0000000,0,1,061700
4894,1,F,64,061500,DD,05,115  ,115  ,0,0,2013-06-06 00:00:00.0000000,2022-06-03 00:00:00.0000000,0,0,061500
464,1,F,42,061500,DD,05,330  ,320  ,3,1,2013-06-03 00:00:00.0000000,2018-02-12 00:00:00.0000000,1,0,061500
4094,0,M,77,061500,DD,  ,320  ,320  ,3,1,2013-06-17 00:00:00.0000000,2018-02-12 00:00:00.0000000,1,0,061500
409399,1,M,47,060000,DD,02,330  ,330  ,3,1,2004-05-08 00:00:00.0000000,2023-05-16 00:00:00.0000000,0,1,0615C0
5046,1,M,25,060000,DD,05,103  ,241  ,3,0,2022-06-09 00:00:00.0000000,2022-06-11 00:00:00.0000000,1,0,061400
5046,1,M,25,060000,DD,05,103  ,241  ,3,0,2022-06-09 00:00:00.0000000,2022-06-11 00:00:00.0000000,1,0,061400
5946,1,F,48,060000,DD,05,241  ,241  ,3,1,2004-05-08 00:00:00.0000000,2023-02-10 00:00:00.0000000,1,1,0615I0
5946,1,F,48,060000,DD,05,241  ,241  ,3,1,2004-05-08 00:00:00.0000000,2023-02-10 00:00:00.0000000,1,1,0615I0
5946,1,F,48,060000,DD,05,241  ,241  ,3,1,2004-05-08 00:00:00.0000000,2023-02-10 00:00:00.0000000,1,1,0615I0
5946,1,F,48,060000,DD,05,241  ,241  ,3,1,2004-05-08 00:00:00.0000000,2023-02-10 00:00:00.0000000,1,1,0615I0
5946,1,F,48,060000,DD,05,241  ,241  ,3,1,2004-05-08 00:00:00.0000000,2023-02-10 00:00:00.0000000,1,1,0615I0
5946,1,F,48,060000,DD,05,241  ,241  ,3,1,2004-05-08 00:00:00.0000000,2023-02-10 00:00:00.0000000,1,1,0615I0
8142,1,F,62,0615G0,DD,05,303  ,300  ,3,0,2013-06-21 00:00:00.0000000,2018-02-12 00:00:00.0000000,0,0,0615G0
5712,1,M,49,061700,DD,09,236  ,236  ,3,0,2012-05-10 00:00:00.0000000,2018-02-12 00:00:00.0000000,0,0,061700
7328,1,F,32,060000,DD,05,100  ,106  ,3, ,2020-11-26 00:00:00.0000000,2020-12-03 00:00:00.0000000,1,0,061500
7328,1,F,32,060000,DD,05,100  ,106  ,3, ,2020-11-26 00:00:00.0000000,2020-12-03 00:00:00.0000000,1,0,061500
5194,1,M,42,060000,DD,05,241  ,241  ,3,0,2014-10-03 00:00:00.0000000,2023-04-12 00:00:00.0000000,1,0,061620
6534,1,F,51,061700,DD,01,234  ,234  ,0,1,2004-05-08 00:00:00.0000000,2018-02-12 00:00:00.0000000,0,1,061700
5749,1,M,61,061700,DD,01,238  ,220  ,0,1,2004-05-08 00:00:00.0000000,2018-02-12 00:00:00.0000000,0,1,061700
7401,1,M,36,060000,DD,05,220  ,220  ,0,1,2010-03-26 00:00:00.0000000,2018-04-02 00:00:00.0000000,1,0,061500
8159,1,F,38,061400,DD,05,411  ,411  ,3,1,2008-08-08 00:00:00.0000000,2018-02-12 00:00:00.0000000,0,0,061400
1072,1,F,,061700,DD,  ,     ,104  ,0,1,2004-05-08 00:00:00.0000000,2018-02-12 00:00:00.0000000,0,1,061700
7961,1,M,43,061700,DD,  ,811  ,811  ,0,1,2004-05-08 00:00:00.0000000,2018-02-12 00:00:00.0000000,0,1,061700
1305,1,F,53,0615C0,DD,05,804  ,804  ,3,0,2009-11-23 00:00:00.0000000,2018-02-12 00:00:00.0000000,1,0,0615C0
2609,1,M,46,060000,DD,05,437  ,407  ,3,0,2004-05-08 00:00:00.0000000,2021-03-04 00:00:00.0000000,1,1,0615H0
4670,1,F,33,060000,DD,05,407  ,407  ,3,0,2017-09-11 00:00:00.0000000,2018-02-12 00:00:00.0000000,1,0,061500
3587,1,M,59,060000,DD,05,408  ,408  ,3,0,2014-04-15 00:00:00.0000000,2022-05-26 00:00:00.0000000,1,0,0615F0
3198,1,F,57,060000,DD,  ,401  ,401  ,3,1,2004-05-08 00:00:00.0000000,2018-02-12 00:00:00.0000000,1,1,061500
7495,1,F,43,060000,DD,05,510  ,510  ,3,0,2018-02-09 00:00:00.0000000,2022-05-26 00:00:00.0000000,1,0,0615C0
3667,1,F,38,061400,DD,05,433  ,435  ,3,0,2014-01-20 00:00:00.0000000,2018-02-12 00:00:00.0000000,0,0,061400
2145,1,F,46,061700,DD,  ,702  ,702  ,0,1,2004-05-08 00:00:00.0000000,2018-02-12 00:00:00.0000000,0,1,061700
730112,1,M,69,060000,DD,05,508  ,411  ,3, ,2004-05-08 00:00:00.0000000,2020-12-16 00:00:00.0000000,1,1,0615C0
730112,1,M,69,060000,DD,05,508  ,411  ,3, ,2004-05-08 00:00:00.0000000,2020-12-16 00:00:00.0000000,1,1,0615C0
2638,1,M,9,060000,DD,01,406  ,411  ,3,0,2014-02-13 00:00:00.0000000,2018-02-12 00:00:00.0000000,0,0,061700
2638,1,M,9,060000,DD,01,406  ,411  ,3,0,2014-02-13 00:00:00.0000000,2018-02-12 00:00:00.0000000,0,0,061700
5518,1,M,26,060000,DD,05,500  ,500  ,3,0,2017-09-06 00:00:00.0000000,2018-12-03 00:00:00.0000000,1,0,061410
